"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20260316","출발시간","1420","ST-417","문래동_057_1","ST-1977","문래동_001_1","1","57","1741"
"20260316","출발시간","0250","ST-1661","자양4동_009_1","ST-3209","천호2동_005_1","1","38","5353"
"20260316","출발시간","1125","ST-505","성내3동_012_1","ST-2748","성내2동_023_1","1","3","473"
"20260316","출발시간","0850","ST-1698","당산2동_001_1","ST-3187","당산2동_003_1","1","2","520"
"20260316","출발시간","0925","ST-2807","당산2동_039_1","ST-278","양평2동_007_1","1","11","1630"
"20260316","출발시간","0850","ST-47","여의동_001_2","ST-3315","여의동_051_3","1","6","1015"
"20260316","출발시간","0750","ST-2011","신정6동_002_1","ST-428","신정6동_002_4","1","118","1464"
"20260316","출발시간","1555","ST-2759","신정1동_005_2","ST-2005","신정1동_005_1","1","17","1202"
"20260316","출발시간","1350","ST-2260","진관동_002_2","ST-1481","진관동_011_1","2","70","7460"
"20260316","출발시간","0840","ST-809","대치2동_008_1","ST-818","도곡1동_004_2","1","11","2568"
"20260316","출발시간","1825","ST-1566","도곡2동_052_1","ST-809","대치2동_008_1","1","49","11238"
"20260316","출발시간","2310","ST-3167","공릉1동_070_1","ST-971","월계3동_001_4","1","4","550"
"20260316","출발시간","0300","ST-1553","서초3동_039_1","ST-2762","신정4동_013_1","1","110","17004"
"20260316","출발시간","1530","ST-3226","등촌3동_001_4","ST-3094","등촌1동_003_1","1","26","1923"
"20260316","출발시간","2235","ST-2184","이촌1동_035_1","ST-2924","한강로동_025_2","1","8","1320"
"20260316","출발시간","1400","ST-3084","가양2동_002_1","ST-2024","가양1동_027_2","1","4","487"
"20260316","출발시간","1040","ST-1169","잠원동_049_1","ST-1171","신사동_018_1","1","6","660"
"20260316","출발시간","2015","ST-1010","신월3동_007_1","ST-2794","신월5동_023_1","1","38","2339"
"20260316","출발시간","0800","ST-2557","화곡6동_024_1","ST-3094","등촌1동_003_1","1","5","736"
"20260316","출발시간","1645","ST-1697","대림3동_030_1","ST-1753","구로3동_037_2","1","12","1837"
"20260316","출발시간","1850","ST-2301","면목5동_030_3","ST-595","면목5동_001_1","1","14","399"
"20260316","출발시간","1150","ST-2033","가양1동_012_7","ST-824","방화1동_008_1","1","19","2639"
"20260316","출발시간","1630","ST-2033","가양1동_012_7","ST-2045","가양1동_012_12","2","8","1378"
"20260316","출발시간","2110","ST-2759","신정1동_005_2","ST-1499","신정7동_004_1","1","19","1826"
"20260316","출발시간","1625","ST-815","역삼2동_003_2","ST-3111","삼성1동_023_2","1","9","1600"
"20260316","출발시간","1050","ST-2790","가양1동_014_4","ST-2026","가양1동_003_1","1","5","638"
"20260316","출발시간","1215","ST-2085","중계2,3동_011_1","ST-2085","중계2,3동_011_1","1","98","1138"
"20260316","출발시간","0830","ST-2080","공릉2동_044_1","ST-1118","중계2,3동_047_1","1","108","2770"
"20260316","출발시간","1920","ST-1647","공항동_009_1","ST-1647","공항동_009_1","2","99","4397"
"20260316","출발시간","1905","ST-2404","내곡동_001_1","ST-823","개포3동_002_1","1","25","5780"
"20260316","출발시간","1210","ST-980","자양2동_015_2","ST-1602","광장동_013_1","1","22","4533"
"20260316","출발시간","1650","ST-1046","성내2동_010_1","ST-2740","성내1동_002_1","1","40","692"
"20260316","출발시간","0710","ST-183","교남동_010_1","ST-185","소공동_001_8","1","9","1682"
"20260316","출발시간","2120","ST-2352","흑석동_021_1","ST-692","흑석동_009_1","1","3","620"
"20260316","출발시간","2210","ST-3389","신사동_001_1","ST-1893","개포2동_004_1","1","45","10350"
"20260316","출발시간","0725","ST-1018","목5동_051_1","ST-620","가산동_005_2","1","33","6900"
"20260316","출발시간","1045","ST-2807","당산2동_039_1","ST-294","당산2동_001_3","1","22","1224"
"20260316","출발시간","1715","ST-124","사직동_009_4","ST-124","사직동_009_4","1","",""
"20260316","출발시간","1140","ST-1862","잠실3동_049_1","ST-1585","잠실3동_053_2","1","7","1741"
"20260316","출발시간","0815","ST-294","당산2동_001_3","ST-1539","양평2동_029_1","1","5","550"
"20260316","출발시간","0950","ST-2116","쌍문4동_033_1","ST-1466","쌍문4동_034_1","1","70","6499"
"20260316","출발시간","1630","ST-3378","돈암1동_023_1","ST-910","월곡2동_015_1","1","12","1566"
"20260316","출발시간","0650","ST-2412","발산1동_057_4","ST-2871","가양1동_016_8","1","4","949"
"20260316","출발시간","1930","ST-603","공릉2동_029_2","ST-847","묵1동_013_1","1","8","1268"
"20260316","출발시간","1845","ST-771","양재1동_063_1","ST-1559","개포2동_003_2","1","26","5817"
"20260316","출발시간","1640","ST-962","논현2동_011_1","ST-1171","신사동_018_1","1","6","1466"
"20260316","출발시간","1545","ST-2464","구로5동_001_2","ST-1273","구로5동_029_1","1","12","838"
"20260316","출발시간","1540","ST-3311","구로5동_001_3","ST-290","도림동_002_3","1","4","890"
"20260316","출발시간","0425","ST-669","구로3동_014_1","ST-1541","대림2동_016_1","1","12","1825"
"20260316","출발시간","0835","ST-2023","가양1동_052_1","ST-2024","가양1동_027_2","1","6","881"
"20260316","출발시간","0420","ST-2561","홍은1동_009_1","ST-2194","홍은1동_045_1","1","5","1272"
"20260316","출발시간","0950","ST-2979","연남동_029_2","ST-18","서교동_004_1","1","5","669"
"20260316","출발시간","1910","ST-2678","대치2동_051_1","ST-1893","개포2동_004_1","1","31","2272"
"20260316","출발시간","1345","ST-1142","가산동_017_1","ST-1934","독산2동_025_1","1","11","2019"
"20260316","출발시간","1130","ST-2773","목5동_013_1","ST-1017","목5동_008_1","1","4","560"
"20260316","출발시간","1930","ST-794","청담동_020_1","ST-1173","압구정동_048_1","1","6","700"
"20260316","출발시간","1715","ST-3380","아현동_001_1","ST-207","대흥동_029_1","1","16","483"
"20260316","출발시간","0850","ST-3130","대흥동_004_2","ST-55","여의동_006_13","1","23","3634"
"20260316","출발시간","1845","ST-2293","중화1동_028_1","ST-2635","묵1동_036_1","1","8","1029"
"20260316","출발시간","1800","ST-2613","우장산동_010_1","ST-1351","등촌3동_052_1","1","3","556"
"20260316","출발시간","1655","ST-531","등촌2동_034_1","ST-2001","목4동_050_1","1","4","604"
"20260316","출발시간","1840","ST-360","행당1동_001_2","ST-392","전농1동_054_1","1","34","3887"
"20260316","출발시간","1740","ST-3226","등촌3동_001_4","ST-522","우장산동_010_2","1","18","1408"
"20260316","출발시간","1140","ST-118","사직동_009_2","ST-130","삼청동_001_1","1","9","1090"
"20260316","출발시간","1455","ST-1291","상계6,7동_027_3","ST-1291","상계6,7동_027_3","1","30","1376"
"20260316","출발시간","1300","ST-1053","명일2동_009_1","ST-500","고덕1동_012_1","1","22","2329"
"20260316","출발시간","1805","ST-542","잠실4동_003_4","ST-1878","풍납2동_051_1","1","7","1402"
"20260316","출발시간","1525","ST-831","방화3동_020_1","ST-508","방화1동_002_1","1","4","386"
"20260316","출발시간","0905","ST-2489","가양1동_001_1","ST-3251","가양1동_012_16","1","5","873"
"20260316","출발시간","1405","ST-2501","답십리2동_018_1","ST-1300","장안1동_070_1","1","3","406"
"20260316","출발시간","1035","ST-2465","구로5동_038_1","ST-920","개봉1동_043_4","1","22","3391"
"20260316","출발시간","0555","ST-2979","연남동_029_2","ST-2165","상암동_024_2","1","25","3571"
"20260316","출발시간","0950","ST-1002","목1동_006_1","ST-1731","목1동_003_5","1","5","786"
"20260316","출발시간","2215","ST-791","압구정동_051_1","ST-97","화양동_002_1","1","48","6188"
"20260316","출발시간","2010","ST-2709","상계8동_043_1","ST-3288","상계2동_031_2","1","10","1560"
"20260316","출발시간","0850","ST-1317","안암동_028_1","ST-1628","청량리동_003_1","1","7","801"
"20260316","출발시간","0800","ST-1197","왕십리도선동_024_1","ST-175","숭인1동_009_1","1","11","1870"
