"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20260511","출발시간","1040","ST-327","한강로동_010_4","ST-2188","한남동_023_1","1","36","6180"
"20260511","출발시간","0645","ST-3220","방배3동_016_2","ST-752","방배1동_021_1","1","6","1729"
"20260511","출발시간","2305","ST-2056","발산1동_035_2","ST-1645","공항동_030_1","1","8","1245"
"20260511","출발시간","0755","ST-1118","중계2,3동_047_1","ST-2792","하계2동_004_1","1","",""
"20260511","출발시간","1820","ST-797","삼성1동_025_2","ST-1575","삼성1동_018_2","1","7","1382"
"20260511","출발시간","1800","ST-1914","방배4동_008_2","ST-2362","사당1동_026_1","1","13","1751"
"20260511","출발시간","0740","ST-839","송파2동_007_1","ST-2972","문정2동_044_3","1","9","1800"
"20260511","출발시간","0120","ST-2975","서강동_009_1","ST-3140","신촌동_024_3","1","8","1046"
"20260511","출발시간","1235","ST-2796","송파2동_002_1","ST-3414","세곡동_051_3","2","66","9074"
"20260511","출발시간","0755","ST-2547","자양2동_003_1","ST-2574","풍납2동_049_3","1","31","4476"
"20260511","출발시간","1900","ST-1839","성내3동_018_2","ST-2750","길동_053_1","1","18","2414"
"20260511","출발시간","1825","ST-2396","신정6동_002_3","ST-2765","신정7동_004_2","1","12","1156"
"20260511","출발시간","1730","ST-67","여의동_037_2","ST-73","여의동_010_1","1","5","680"
"20260511","출발시간","0325","ST-2226","삼선동_002_2","ST-160","종로5,6가동_007_1","1","15","2968"
"20260511","출발시간","0730","ST-1352","발산1동_065_1","ST-1064","발산1동_056_1","3","9","1599"
"20260511","출발시간","0715","ST-3051","충현동_013_1","ST-204","용강동_039_1","1","14","3403"
"20260511","출발시간","1835","ST-758","방배4동_025_1","ST-753","방배2동_013_1","1","10","1510"
"20260511","출발시간","2010","ST-2595","잠실4동_003_2","ST-2594","잠실4동_003_1","1","11","1507"
"20260511","출발시간","2025","ST-1810","종로1,2,3,4가동_004_5","ST-1801","종로5,6가동_010_5","1","11","909"
"20260511","출발시간","1950","ST-180","무악동_016_1","ST-3027","충현동_037_2","1","10","1679"
"20260511","출발시간","0920","ST-1047","성내1동_016_1","ST-2592","오륜동_002_3","1","5","431"
"20260511","출발시간","0655","ST-428","신정6동_002_4","ST-311","목1동_037_1","1","48","1688"
"20260511","출발시간","1905","ST-2834","성수1가2동_005_2","ST-381","구의3동_004_2","1","46","9744"
"20260511","출발시간","0000","ST-2017","목1동_031_1","ST-3089","신정7동_003_1","1","14","2311"
"20260511","출발시간","1225","ST-586","망우본동_001_3","ST-602","공릉1동_045_1","1","17","2893"
"20260511","출발시간","1915","ST-2293","중화1동_028_1","ST-1333","묵1동_003_1","1","12","1804"
"20260511","출발시간","1150","ST-409","답십리1동_006_1","ST-3258","용신동_001_1","1","8","1630"
"20260511","출발시간","1705","ST-3182","구로2동_001_6","ST-1224","구로3동_037_1","1","24","3005"
"20260511","출발시간","2130","ST-2749","길동_012_1","ST-1061","천호1동_023_1","1","8","968"
"20260511","출발시간","0810","ST-1975","도림동_003_1","ST-1990","영등포본동_020_2","1","4","716"
"20260511","출발시간","1825","ST-1688","가양1동_016_3","ST-2477","방화1동_077_1","1","11","1619"
"20260511","출발시간","0010","ST-2396","신정6동_002_3","ST-2844","목5동_059_1","1","22","3533"
"20260511","출발시간","1110","ST-2966","상일2동_001_2","ST-504","고덕1동_073_2","1","73","4640"
"20260511","출발시간","1805","ST-1424","성북동_012_1","ST-1424","성북동_012_1","2","56","3067"
"20260511","출발시간","1705","ST-825","성북동_015_2","ST-1424","성북동_012_1","2","42","1704"
"20260511","출발시간","1430","ST-3015","상계6,7동_042_1","ST-2063","상계6,7동_049_1","1","22","1091"
"20260511","출발시간","1235","ST-2559","신도림동_071_1","ST-3303","신도림동_067_1","1","8","660"
"20260511","출발시간","1810","ST-1929","반포4동_013_1","ST-2827","상도1동_001_1","1","40","6831"
"20260511","출발시간","1325","ST-1195","응봉동_003_1","ST-1660","자양3동_013_1","1","24","5863"
"20260511","출발시간","1640","ST-1964","신도림동_030_1","ST-1236","신도림동_057_1","1","7","798"
"20260511","출발시간","1210","ST-2781","진관동_004_4","ST-453","진관동_011_3","1","",""
"20260511","출발시간","1310","ST-1807","종로1,2,3,4가동_007_1","ST-170","가회동_009_1","1","6","864"
"20260511","출발시간","0810","ST-905","문정2동_010_1","ST-907","문정2동_011_1","1","",""
"20260511","출발시간","1910","ST-1964","신도림동_030_1","ST-662","신도림동_069_1","1","7","1054"
"20260511","출발시간","0040","ST-2729","중계1동_025_4","ST-1284","중계1동_021_1","1","",""
"20260511","출발시간","0910","ST-3356","용신동_035_1","ST-2420","사근동_002_1","1","18","3414"
"20260511","출발시간","0810","ST-1142","가산동_017_1","ST-623","가산동_004_8","1","9","1490"
"20260511","출발시간","1125","ST-1417","위례동_034_1","ST-2878","가락2동_061_1","1","20","3307"
"20260511","출발시간","0720","ST-437","청파동_009_1","ST-2786","회현동_003_6","1","6","1212"
"20260511","출발시간","0025","ST-1846","명일1동_028_1","ST-2747","둔촌2동_032_1","1","10","2115"
"20260511","출발시간","1745","ST-3260","가양1동_012_18","ST-2049","발산1동_001_4","1","5","729"
"20260511","출발시간","0755","ST-1192","능동_002_1","ST-1990","영등포본동_020_2","1","57","17764"
"20260511","출발시간","0835","ST-2592","오륜동_002_3","ST-1720","오륜동_001_4","1","",""
"20260511","출발시간","0815","ST-830","둔촌1동_001_4","ST-1041","성내1동_012_1","1","8","1400"
"20260511","출발시간","1125","ST-3302","도곡2동_029_1","ST-3302","도곡2동_029_1","1","29","2370"
"20260511","출발시간","0620","ST-3274","상계3,4동_013_1","ST-1285","중계2,3동_046_1","1","10","2401"
"20260511","출발시간","0840","ST-1249","등촌3동_064_1","ST-3118","가양3동_001_1","1","6","889"
"20260511","출발시간","2025","ST-3300","오륜동_001_5","ST-1874","오륜동_033_1","1","8","1217"
"20260511","출발시간","2245","ST-1017","목5동_008_1","ST-997","목4동_036_1","1","6","924"
"20260511","출발시간","2055","ST-408","용신동_007_2","ST-565","종암동_029_1","1","26","3376"
"20260511","출발시간","2220","ST-1880","도곡2동_045_1","ST-818","도곡1동_004_2","1","",""
"20260511","출발시간","1045","ST-818","도곡1동_004_2","ST-1880","도곡2동_045_1","1","3","480"
"20260511","출발시간","0605","ST-1268","보라매동_001_1","ST-1521","구로3동_006_1","1","19","3233"
"20260511","출발시간","2255","ST-983","중곡1동_015_1","ST-1194","군자동_003_1","1","5","798"
"20260511","출발시간","0755","ST-286","신대방2동_011_1","ST-286","신대방2동_011_1","1","11","637"
"20260511","출발시간","2200","ST-82","성산2동_012_2","ST-342","성산1동_022_1","1","5","1006"
