"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20260420","출발시간","0000","ST-10","서교동_044_1","ST-82","성산2동_012_2","1","13","2196"
"20260420","출발시간","0000","ST-1032","불광1동_030_1","ST-454","대조동_020_1","1","7","1542"
"20260420","출발시간","0000","ST-1046","성내2동_010_1","ST-1684","풍납1동_002_1","1","8","846"
"20260420","출발시간","0000","ST-1083","풍납1동_003_1","ST-2740","성내1동_002_1","1","5","1068"
"20260420","출발시간","0000","ST-1109","수유3동_025_1","ST-2504","청량리동_017_1","1","36","5857"
"20260420","출발시간","0000","ST-1118","중계2,3동_047_1","ST-1285","중계2,3동_046_1","1","7","847"
"20260420","출발시간","0000","ST-1123","공릉1동_049_1","ST-605","하계2동_044_2","1","2","492"
"20260420","출발시간","0000","ST-1140","가산동_003_1","ST-3196","독산1동_039_1","1","8","1370"
"20260420","출발시간","0000","ST-1186","수서동_023_1","ST-1719","오륜동_001_3","1","28","4652"
"20260420","출발시간","0000","ST-1200","삼선동_002_1","ST-2226","삼선동_002_2","1","",""
"20260420","출발시간","0000","ST-1208","돈암2동_037_1","ST-1455","안암동_013_1","1","8","1468"
"20260420","출발시간","0000","ST-1211","길음1동_041_1","ST-2504","청량리동_017_1","1","11","2709"
"20260420","출발시간","0000","ST-1249","등촌3동_064_1","ST-2489","가양1동_001_1","1","10","1940"
"20260420","출발시간","0000","ST-1278","상계6,7동_001_1","ST-1278","상계6,7동_001_1","1","",""
"20260420","출발시간","0000","ST-1286","중계2,3동_015_1","ST-735","공릉1동_016_1","1","13","1994"
"20260420","출발시간","0000","ST-1291","상계6,7동_027_3","ST-3175","창4동_048_1","1","8","1185"
"20260420","출발시간","0000","ST-1337","중앙동_029_1","ST-702","신림동_006_1","1","14","2286"
"20260420","출발시간","0000","ST-1341","용문동_003_1","ST-435","한강로동_015_1","2","49","3264"
"20260420","출발시간","0000","ST-1342","남영동_003_2","ST-2361","상도1동_049_1","1","45","6456"
"20260420","출발시간","0000","ST-1346","묵1동_005_1","ST-2861","공릉1동_011_1","1","7","1361"
"20260420","출발시간","0000","ST-1361","양재2동_007_1","ST-2655","양재2동_005_3","1","4","811"
"20260420","출발시간","0000","ST-137","명동_001_4","ST-112","성수2가3동_004_1","1","47","7429"
"20260420","출발시간","0000","ST-1407","세곡동_033_1","ST-1892","세곡동_049_1","1","14","1440"
"20260420","출발시간","0000","ST-1420","성내3동_030_1","ST-2742","성내3동_011_1","1","4","341"
"20260420","출발시간","0000","ST-1425","중계본동_004_1","ST-1282","중계1동_052_1","1","3","668"
"20260420","출발시간","0000","ST-1440","황학동_015_1","ST-195","광희동_001_3","1","11","1990"
"20260420","출발시간","0000","ST-1455","안암동_013_1","ST-1215","안암동_008_1","1","5","475"
"20260420","출발시간","0000","ST-1461","도봉1동_030_1","ST-1434","도봉2동_031_1","1","5","767"
"20260420","출발시간","0000","ST-1461","도봉1동_030_1","ST-1461","도봉1동_030_1","1","10","904"
"20260420","출발시간","0000","ST-1461","도봉1동_030_1","ST-2089","방학1동_030_1","1","8","2152"
"20260420","출발시간","0000","ST-1466","쌍문4동_034_1","ST-862","수유3동_004_1","1","45","2473"
"20260420","출발시간","0000","ST-150","종로1,2,3,4가동_005_2","ST-155","종로1,2,3,4가동_004_3","1","6","710"
"20260420","출발시간","0000","ST-150","종로1,2,3,4가동_005_2","ST-1807","종로1,2,3,4가동_007_1","1","",""
"20260420","출발시간","0000","ST-1503","목1동_003_3","ST-1005","신정1동_007_1","1","14","2480"
"20260420","출발시간","0000","ST-1510","등촌1동_043_1","ST-2943","가양1동_020_2","1","18","2244"
"20260420","출발시간","0000","ST-1521","구로3동_006_1","ST-1268","보라매동_001_1","1","20","3501"
"20260420","출발시간","0000","ST-1529","구로2동_001_1","ST-1236","신도림동_057_1","1","4","1062"
"20260420","출발시간","0000","ST-1529","구로2동_001_1","ST-1529","구로2동_001_1","1","68","16753"
"20260420","출발시간","0000","ST-1548","은천동_065_1","ST-976","신림동_027_2","1","19","1563"
"20260420","출발시간","0000","ST-1574","개포3동_028_1","ST-2847","일원1동_018_2","1","12","1735"
"20260420","출발시간","0000","ST-1577","역삼1동_044_1","ST-1910","반포3동_015_3","1","29","3808"
"20260420","출발시간","0000","ST-158","이화동_009_1","ST-172","이화동_014_2","1","2","334"
