"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20260124","출발시간","0000","ST-105","성수2가3동_006_2","ST-3044","성수2가3동_012_2","1","5","828"
"20260124","출발시간","0000","ST-1245","삼성2동_057_1","ST-1178","대치4동_001_1","1","4","831"
"20260124","출발시간","0000","ST-1251","가양1동_020_1","ST-1351","등촌3동_052_1","1","4","767"
"20260124","출발시간","0000","ST-1284","중계1동_021_1","ST-3274","상계3,4동_013_1","1","8","1062"
"20260124","출발시간","0000","ST-1284","중계1동_021_1","ST-3288","상계2동_031_2","1","6","671"
"20260124","출발시간","0000","ST-1409","잠실4동_027_1","ST-1582","삼전동_001_1","1","20","1837"
"20260124","출발시간","0000","ST-1435","을지로동_001_1","ST-145","종로1,2,3,4가동_005_1","2","10","1109"
"20260124","출발시간","0000","ST-1627","풍납2동_010_2","ST-1627","풍납2동_010_2","1","14","1674"
"20260124","출발시간","0000","ST-1841","성내2동_036_1","ST-3248","둔촌2동_004_1","1","5","1135"
"20260124","출발시간","0000","ST-1990","영등포본동_020_2","ST-303","신길3동_021_1","1","9","1318"
"20260124","출발시간","0000","ST-1990","영등포본동_020_2","ST-619","가산동_004_6","1","57","9638"
"20260124","출발시간","0000","ST-2037","가양1동_014_2","ST-1710","발산1동_049_1","1","12","1594"
"20260124","출발시간","0000","ST-2168","서교동_001_1","ST-1190","연희동_036_1","1","10","1282"
"20260124","출발시간","0000","ST-2173","한강로동_009_1","ST-438","청파동_011_1","1","9","510"
"20260124","출발시간","0000","ST-2213","홍은2동_026_1","ST-3033","홍은2동_025_1","1","6","877"
"20260124","출발시간","0000","ST-2450","한강로동_004_1","ST-335","이촌1동_033_1","1","14","1490"
"20260124","출발시간","0000","ST-2464","구로5동_001_2","ST-2564","문래동_014_1","1","11","1108"
"20260124","출발시간","0000","ST-257","자양1동_007_1","ST-2891","자양2동_016_1","1","4","439"
"20260124","출발시간","0000","ST-2591","가락1동_048_6","ST-2576","문정2동_025_1","1","3","479"
"20260124","출발시간","0000","ST-2747","둔촌2동_032_1","ST-1836","천호3동_020_1","1","88","8207"
"20260124","출발시간","0000","ST-282","양평1동_011_1","ST-1353","영등포본동_037_1","1","17","2448"
"20260124","출발시간","0000","ST-2860","상봉1동_003_2","ST-2921","상봉1동_003_3","1","2","398"
"20260124","출발시간","0000","ST-2866","원효로2동_025_4","ST-327","한강로동_010_4","1","3","473"
"20260124","출발시간","0000","ST-2871","가양1동_016_8","ST-2050","공항동_060_1","1","2","385"
"20260124","출발시간","0000","ST-2876","방이2동_005_1","ST-839","송파2동_007_1","1","21","2769"
"20260124","출발시간","0000","ST-3029","가산동_010_1","ST-1224","구로3동_037_1","1","6","602"
"20260124","출발시간","0000","ST-3243","청담동_038_1","ST-815","역삼2동_003_2","1","17","2634"
"20260124","출발시간","0000","ST-3264","장위3동_029_2","ST-1103","미아동_007_1","1","23","3425"
"20260124","출발시간","0000","ST-3333","용신동_044_2","ST-3316","답십리1동_058_1","1","23","2758"
"20260124","출발시간","0000","ST-3382","전농1동_052_1","ST-397","용신동_004_1","1","10","1178"
"20260124","출발시간","0000","ST-350","북가좌1동_004_2","ST-222","북가좌1동_022_1","1","7","1280"
"20260124","출발시간","0000","ST-522","우장산동_010_2","ST-3365","가양1동_028_1","1","10","1323"
"20260124","출발시간","0000","ST-638","독산1동_042_1","ST-2913","독산2동_005_1","1","93","9044"
"20260124","출발시간","0000","ST-652","수유3동_020_1","ST-1109","수유3동_025_1","1","7","894"
"20260124","출발시간","0000","ST-720","낙성대동_032_1","ST-714","은천동_007_1","1","7","937"
