"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20260309","출발시간","0800","ST-2340","마장동_017_1","ST-398","답십리1동_025_1","1","10","1230"
"20260309","출발시간","0710","ST-3102","신길1동_001_1","ST-66","여의동_006_18","1","11","1666"
"20260309","출발시간","1405","ST-2079","상계8동_015_1","ST-1119","상계1동_004_1","1","10","1254"
"20260309","출발시간","1700","ST-1712","가양1동_012_3","ST-2490","가양1동_001_2","1","87","2229"
"20260309","출발시간","0700","ST-1990","영등포본동_020_2","ST-3383","여의동_002_17","1","14","2431"
"20260309","출발시간","2230","ST-3341","문래동_017_1","ST-417","문래동_057_1","1","4","712"
"20260309","출발시간","0735","ST-2553","염창동_042_1","ST-1017","목5동_008_1","1","18","2552"
"20260309","출발시간","1830","ST-1081","송파1동_030_1","ST-2609","잠실6동_017_1","1","16","2286"
"20260309","출발시간","1245","ST-2740","성내1동_002_1","ST-503","성내1동_004_1","1","3","540"
"20260309","출발시간","1750","ST-112","성수2가3동_004_1","ST-1661","자양4동_009_1","1","5","615"
"20260309","출발시간","0710","ST-2477","방화1동_077_1","ST-2569","가양1동_016_7","1","12","1954"
"20260309","출발시간","1055","ST-524","화곡1동_012_1","ST-3276","화곡3동_021_1","1","27","2034"
"20260309","출발시간","1800","ST-918","구로4동_002_2","ST-1540","구로5동_040_2","1","75","365"
"20260309","출발시간","0840","ST-503","성내1동_004_1","ST-2608","잠실4동_027_2","1","10","1727"
"20260309","출발시간","2020","ST-3300","오륜동_001_5","ST-503","성내1동_004_1","1","6","834"
"20260309","출발시간","1805","ST-2401","번3동_002_3","ST-2236","장위3동_010_1","1","9","1695"
"20260309","출발시간","2210","ST-1710","발산1동_049_1","ST-2482","방화1동_023_1","1","12","2038"
"20260309","출발시간","1540","ST-3130","대흥동_004_2","ST-201","아현동_021_1","1","27","1659"
"20260309","출발시간","1015","ST-850","상봉2동_008_1","ST-2922","상봉2동_027_1","1","3","571"
"20260309","출발시간","1520","ST-2107","창5동_030_1","ST-2107","창5동_030_1","1","139","2090"
"20260309","출발시간","1140","ST-2314","자양1동_023_1","ST-3340","구의2동_007_1","1","148","3094"
"20260309","출발시간","1815","ST-2044","가양1동_012_11","ST-1645","공항동_030_1","1","13","1885"
"20260309","출발시간","1810","ST-3177","창4동_038_2","ST-2754","상계6,7동_060_2","1","7","1125"
"20260309","출발시간","0725","ST-2202","신촌동_012_1","ST-2199","천연동_027_2","1","40","1930"
"20260309","출발시간","1535","ST-2538","발산1동_007_1","ST-834","등촌3동_002_1","1","5","791"
"20260309","출발시간","2025","ST-2991","잠실3동_006_1","X","","1","",""
"20260309","출발시간","0750","ST-2177","한강로동_012_1","ST-3138","남영동_001_2","1","9","1650"
"20260309","출발시간","0800","ST-384","능동_002_5","ST-253","군자동_012_1","1","9","2500"
