대여소_ID_num,요일,대여시간(시),과거_평균_대여량
0,0,0,0.10256410256410256
0,0,1,1.1025641025641026
0,0,2,1.205128205128205
0,0,3,0.3076923076923077
0,0,4,0.3333333333333333
0,0,5,0.358974358974359
0,0,6,0.15384615384615385
0,0,7,0.5641025641025641
0,0,8,0.28205128205128205
0,0,9,0.4358974358974359
0,0,10,0.8205128205128205
0,0,11,0.6410256410256411
0,0,12,1.1538461538461537
0,0,13,1.641025641025641
0,0,14,1.6923076923076923
0,0,15,1.641025641025641
0,0,16,2.1538461538461537
0,0,17,2.282051282051282
0,0,18,3.3333333333333335
0,0,19,3.3076923076923075
0,0,20,1.8205128205128205
0,0,21,1.2564102564102564
0,0,22,1.0512820512820513
0,0,23,0.717948717948718
0,1,0,0.0
0,1,1,0.8717948717948718
0,1,2,0.5128205128205128
0,1,3,0.4358974358974359
0,1,4,0.3076923076923077
0,1,5,0.2564102564102564
0,1,6,0.23076923076923078
0,1,7,0.4358974358974359
0,1,8,0.23076923076923078
0,1,9,0.5128205128205128
0,1,10,0.8974358974358975
0,1,11,0.6923076923076923
0,1,12,1.4102564102564104
0,1,13,2.051282051282051
0,1,14,1.8205128205128205
0,1,15,1.6666666666666667
0,1,16,1.9743589743589745
0,1,17,2.358974358974359
0,1,18,3.41025641025641
0,1,19,3.230769230769231
0,1,20,2.641025641025641
0,1,21,1.6923076923076923
0,1,22,1.5384615384615385
0,1,23,1.0
0,2,0,0.05128205128205128
0,2,1,0.9487179487179487
0,2,2,0.7435897435897436
0,2,3,0.38461538461538464
0,2,4,0.3076923076923077
0,2,5,0.46153846153846156
0,2,6,0.2564102564102564
0,2,7,0.6153846153846154
0,2,8,0.358974358974359
0,2,9,0.46153846153846156
0,2,10,0.7435897435897436
0,2,11,1.1282051282051282
0,2,12,1.564102564102564
0,2,13,1.794871794871795
0,2,14,1.8461538461538463
0,2,15,1.6923076923076923
0,2,16,1.435897435897436
0,2,17,3.1794871794871793
0,2,18,3.7435897435897436
0,2,19,2.5128205128205128
0,2,20,2.0256410256410255
0,2,21,1.3333333333333333
0,2,22,1.2564102564102564
0,2,23,0.7948717948717948
0,3,0,0.02564102564102564
0,3,1,0.8205128205128205
0,3,2,0.8461538461538461
0,3,3,0.46153846153846156
0,3,4,0.23076923076923078
0,3,5,0.1282051282051282
0,3,6,0.28205128205128205
0,3,7,0.5384615384615384
0,3,8,0.1794871794871795
0,3,9,0.38461538461538464
0,3,10,0.9487179487179487
0,3,11,0.7948717948717948
0,3,12,1.564102564102564
0,3,13,2.128205128205128
0,3,14,1.641025641025641
0,3,15,2.1025641025641026
0,3,16,1.6666666666666667
0,3,17,2.3846153846153846
0,3,18,4.410256410256411
0,3,19,4.051282051282051
0,3,20,2.7435897435897436
0,3,21,1.9487179487179487
0,3,22,1.7435897435897436
0,3,23,0.8717948717948718
0,4,0,0.18421052631578946
0,4,1,0.7631578947368421
0,4,2,0.8421052631578947
0,4,3,0.8157894736842105
0,4,4,0.631578947368421
0,4,5,0.42105263157894735
0,4,6,0.21052631578947367
0,4,7,0.5789473684210527
0,4,8,0.15789473684210525
0,4,9,0.2631578947368421
0,4,10,0.9736842105263158
0,4,11,1.131578947368421
0,4,12,1.8157894736842106
0,4,13,2.473684210526316
0,4,14,1.9210526315789473
0,4,15,1.7894736842105263
0,4,16,2.0789473684210527
0,4,17,3.0789473684210527
0,4,18,3.526315789473684
0,4,19,2.763157894736842
0,4,20,2.210526315789474
0,4,21,1.763157894736842
0,4,22,1.9736842105263157
0,4,23,0.8947368421052632
0,5,0,0.02631578947368421
0,5,1,1.763157894736842
0,5,2,1.3157894736842106
0,5,3,0.7894736842105263
0,5,4,0.6052631578947368
0,5,5,0.6842105263157895
0,5,6,0.3684210526315789
0,5,7,0.21052631578947367
0,5,8,0.18421052631578946
0,5,9,0.3684210526315789
0,5,10,0.9736842105263158
0,5,11,1.4473684210526316
0,5,12,1.763157894736842
0,5,13,2.210526315789474
0,5,14,2.3157894736842106
0,5,15,3.1578947368421053
0,5,16,2.3684210526315788
0,5,17,2.6315789473684212
0,5,18,2.6315789473684212
0,5,19,2.210526315789474
0,5,20,2.5526315789473686
0,5,21,2.763157894736842
0,5,22,1.2105263157894737
0,5,23,1.868421052631579
0,6,0,0.15789473684210525
0,6,1,2.473684210526316
0,6,2,1.0526315789473684
0,6,3,0.9473684210526315
0,6,4,0.6578947368421053
0,6,5,0.7631578947368421
0,6,6,0.2894736842105263
0,6,7,0.10526315789473684
0,6,8,0.21052631578947367
0,6,9,0.34210526315789475
0,6,10,0.8421052631578947
0,6,11,1.105263157894737
0,6,12,1.631578947368421
0,6,13,2.6315789473684212
0,6,14,2.8157894736842106
0,6,15,2.9210526315789473
0,6,16,2.8947368421052633
0,6,17,3.6578947368421053
0,6,18,3.1315789473684212
0,6,19,3.0526315789473686
0,6,20,2.5
0,6,21,1.868421052631579
0,6,22,1.0526315789473684
0,6,23,1.1842105263157894
1,0,0,0.0
1,0,1,0.2564102564102564
1,0,2,0.23076923076923078
1,0,3,0.1282051282051282
1,0,4,0.05128205128205128
1,0,5,0.38461538461538464
1,0,6,1.4871794871794872
1,0,7,8.333333333333334
1,0,8,8.923076923076923
1,0,9,3.6153846153846154
1,0,10,1.5897435897435896
1,0,11,1.3333333333333333
1,0,12,1.6153846153846154
1,0,13,1.5384615384615385
1,0,14,1.6153846153846154
1,0,15,1.8461538461538463
1,0,16,2.641025641025641
1,0,17,4.3076923076923075
1,0,18,3.1794871794871793
1,0,19,1.3846153846153846
1,0,20,1.4615384615384615
1,0,21,0.9230769230769231
1,0,22,0.46153846153846156
1,0,23,0.3333333333333333
1,1,0,0.07692307692307693
1,1,1,0.4358974358974359
1,1,2,0.1794871794871795
1,1,3,0.1282051282051282
1,1,4,0.10256410256410256
1,1,5,0.3333333333333333
1,1,6,1.794871794871795
1,1,7,8.256410256410257
1,1,8,7.102564102564102
1,1,9,3.3846153846153846
1,1,10,1.435897435897436
1,1,11,1.3333333333333333
1,1,12,1.794871794871795
1,1,13,1.7179487179487178
1,1,14,1.8461538461538463
1,1,15,1.6923076923076923
1,1,16,2.230769230769231
1,1,17,4.102564102564102
1,1,18,3.4615384615384617
1,1,19,1.8205128205128205
1,1,20,1.5384615384615385
1,1,21,1.0512820512820513
1,1,22,0.9487179487179487
1,1,23,0.5641025641025641
1,2,0,0.05128205128205128
1,2,1,0.4358974358974359
1,2,2,0.15384615384615385
1,2,3,0.1794871794871795
1,2,4,0.10256410256410256
1,2,5,0.20512820512820512
1,2,6,1.9487179487179487
1,2,7,8.179487179487179
1,2,8,7.82051282051282
1,2,9,3.0
1,2,10,1.435897435897436
1,2,11,2.1025641025641026
1,2,12,1.205128205128205
1,2,13,1.6666666666666667
1,2,14,2.4871794871794872
1,2,15,2.282051282051282
1,2,16,2.41025641025641
1,2,17,4.17948717948718
1,2,18,3.7435897435897436
1,2,19,1.5897435897435896
1,2,20,1.6153846153846154
1,2,21,1.2564102564102564
1,2,22,0.6153846153846154
1,2,23,0.5897435897435898
1,3,0,0.0
1,3,1,0.38461538461538464
1,3,2,0.28205128205128205
1,3,3,0.1282051282051282
1,3,4,0.07692307692307693
1,3,5,0.358974358974359
1,3,6,1.794871794871795
1,3,7,7.461538461538462
1,3,8,7.102564102564102
1,3,9,3.41025641025641
1,3,10,1.8974358974358974
1,3,11,1.358974358974359
1,3,12,1.564102564102564
1,3,13,2.2564102564102564
1,3,14,1.9230769230769231
1,3,15,2.4615384615384617
1,3,16,2.9743589743589745
1,3,17,4.641025641025641
1,3,18,2.6923076923076925
1,3,19,2.1794871794871793
1,3,20,1.9743589743589745
1,3,21,1.0256410256410255
1,3,22,1.205128205128205
1,3,23,0.5897435897435898
1,4,0,0.10526315789473684
1,4,1,0.3157894736842105
1,4,2,0.21052631578947367
1,4,3,0.18421052631578946
1,4,4,0.18421052631578946
1,4,5,0.4473684210526316
1,4,6,1.605263157894737
1,4,7,7.078947368421052
1,4,8,7.131578947368421
1,4,9,3.4473684210526314
1,4,10,1.763157894736842
1,4,11,1.394736842105263
1,4,12,1.4473684210526316
1,4,13,2.1842105263157894
1,4,14,1.894736842105263
1,4,15,2.5526315789473686
1,4,16,2.6315789473684212
1,4,17,4.552631578947368
1,4,18,3.8684210526315788
1,4,19,1.8421052631578947
1,4,20,1.4736842105263157
1,4,21,1.236842105263158
1,4,22,0.7368421052631579
1,4,23,0.42105263157894735
1,5,0,0.07894736842105263
1,5,1,0.42105263157894735
1,5,2,0.23684210526315788
1,5,3,0.13157894736842105
1,5,4,0.10526315789473684
1,5,5,0.3684210526315789
1,5,6,0.42105263157894735
1,5,7,1.4473684210526316
1,5,8,2.1052631578947367
1,5,9,2.3947368421052633
1,5,10,2.3421052631578947
1,5,11,3.9473684210526314
1,5,12,3.1842105263157894
1,5,13,3.263157894736842
1,5,14,3.1052631578947367
1,5,15,2.3947368421052633
1,5,16,2.736842105263158
1,5,17,2.8421052631578947
1,5,18,2.6052631578947367
1,5,19,1.868421052631579
1,5,20,1.736842105263158
1,5,21,1.1842105263157894
1,5,22,0.8947368421052632
1,5,23,0.47368421052631576
1,6,0,0.07894736842105263
1,6,1,0.3684210526315789
1,6,2,0.15789473684210525
1,6,3,0.13157894736842105
1,6,4,0.07894736842105263
1,6,5,0.2894736842105263
1,6,6,0.21052631578947367
1,6,7,0.7631578947368421
1,6,8,2.8421052631578947
1,6,9,1.6578947368421053
1,6,10,2.236842105263158
1,6,11,2.0789473684210527
1,6,12,2.763157894736842
1,6,13,2.973684210526316
1,6,14,3.1842105263157894
1,6,15,2.8947368421052633
1,6,16,2.6578947368421053
1,6,17,3.6578947368421053
1,6,18,2.263157894736842
