대여소_ID_num,대여소명,위도,경도
150,대치1동_023_1,37.496552,127.054298
151,사직동_009_2,37.575615,126.972893
152,논현2동_035_1,37.514748,127.035133
153,대치2동_052_1,37.494499,127.063797
154,개포2동_003_1,37.489277,127.065575
155,수서동_019_1,37.48735,127.100998
156,수서동_028_1,37.486778,127.100517
157,수서동_023_1,37.48735,127.102325
158,북아현동_005_1,37.557396,126.952164
159,연희동_003_1,37.578381,126.936096
160,사직동_008_1,37.57177,126.974663
161,연희동_036_1,37.567997,126.931656
162,자양4동_004_1,37.537014,127.061096
163,능동_002_1,37.545952,127.078003
164,화양동_038_1,37.548222,127.067879
165,군자동_003_1,37.553417,127.073196
166,응봉동_003_1,37.551304,127.035194
167,왕십리도선동_024_1,37.56461,127.029198
168,왕십리도선동_027_1,37.566261,127.023697
169,성수1가1동_008_2,37.542816,127.042084
170,신촌동_032_1,37.558933,126.927116
171,삼선동_002_1,37.591713,127.013557
172,동선동_028_1,37.590393,127.017166
173,안암동_012_1,37.586933,127.020683
174,월곡1동_004_1,37.610573,127.033669
175,장위3동_007_1,37.617844,127.055
176,성북동_016_1,37.592617,126.997932
177,성북동_015_1,37.589249,127.007378
178,돈암2동_037_1,37.600288,127.013702
179,"종로1,2,3,4가동_003_2",37.572559,126.978333
180,길음1동_057_1,37.608978,127.020248
181,길음1동_041_1,37.607105,127.0215
182,길음1동_065_1,37.604752,127.022758
183,장위3동_018_1,37.621185,127.052155
184,안암동_008_1,37.579365,127.024361
185,보문동_017_1,37.583881,127.017097
186,돈암1동_018_1,37.60083,127.023552
187,신도림동_005_1,37.51001,126.88205
188,구로1동_002_1,37.493401,126.874329
189,구로5동_039_1,37.495781,126.890121
190,구로5동_039_2,37.496513,126.889572
191,구로5동_005_1,37.50285,126.889481
192,구로5동_001_1,37.508183,126.891335
193,구로3동_037_1,37.481602,126.892799
194,고척1동_023_1,37.49789,126.864502
195,개봉1동_044_1,37.497242,126.859123
196,개봉1동_055_1,37.496498,126.863098
197,개봉1동_028_1,37.505138,126.844337
198,사직동_006_1,37.57,126.9711
199,수궁동_011_1,37.501904,126.828964
200,수궁동_038_1,37.490723,126.826393
201,오류2동_010_1,37.488598,126.836494
202,신도림동_057_1,37.50518,126.882538
203,구로4동_002_1,37.492565,126.894753
204,구로4동_024_1,37.48568,126.886703
205,오류2동_018_1,37.48621,126.838821
206,사직동_009_4,37.569969,126.973938
207,구로1동_019_1,37.492031,126.873772
208,오류2동_049_1,37.479431,126.842697
209,삼성2동_057_1,37.511696,127.049347
210,논현2동_036_1,37.507809,127.034981
211,역삼2동_022_1,37.501228,127.050362
212,세곡동_009_1,37.466328,127.094887
213,등촌3동_064_1,37.561035,126.854813
214,사직동_009_5,37.569962,126.976158
215,가양1동_027_1,37.565853,126.846596
216,가양1동_020_1,37.56768,126.840897
217,발산1동_057_1,37.549694,126.819664
218,방화1동_049_1,37.562679,126.820473
219,방화1동_043_1,37.570499,126.820084
220,신림동_002_1,37.484768,126.932877
221,명동_001_1,37.568878,126.97747
222,행운동_038_1,37.476482,126.965363
223,인헌동_036_1,37.476295,126.964958
224,군자동_035_1,37.556862,127.07914
225,청룡동_031_1,37.482189,126.942131
226,조원동_015_1,37.481529,126.912033
227,중곡1동_022_1,37.562527,127.082275
228,대학동_020_1,37.469406,126.944511
229,보라매동_001_1,37.48975,126.927467
230,신림동_012_1,37.488564,126.928482
231,신림동_012_2,37.487301,126.928703
232,구의2동_031_1,37.543842,127.0933
233,구로5동_029_1,37.502548,126.883881
234,구로5동_040_1,37.498516,126.891991
235,가산동_003_2,37.481354,126.88694
236,가산동_003_3,37.48016,126.886368
237,"상계6,7동_001_1",37.649639,127.065605
238,"상계6,7동_027_2",37.654217,127.059212
239,월계1동_015_1,37.619381,127.057854
240,중계1동_025_2,37.649361,127.070442
241,중계1동_052_1,37.646996,127.076401
242,상계2동_022_1,37.655781,127.071777
243,중계1동_021_1,37.654499,127.074387
244,"중계2,3동_046_1",37.645565,127.063347
245,"중계2,3동_015_1",37.643528,127.065224
246,하계1동_020_1,37.64341,127.071838
247,월계2동_003_1,37.629349,127.054825
248,"상계6,7동_027_3",37.653549,127.058083
249,창4동_001_3,37.657799,127.050049
250,방학3동_001_1,37.662079,127.027718
251,창1동_015_2,37.647503,127.043312
252,쌍문2동_015_1,37.658588,127.03521
253,도봉1동_026_1,37.678677,127.040764
254,삼청동_001_1,37.579708,126.980858
255,장안1동_070_1,37.5667,127.062424
256,휘경2동_044_1,37.591534,127.067741
